"","name","longitude","latitude","prov","date","key"
"67","Argia pulla Hagen, 1865",-105.438721,20.486362,"gbif",2020-02-26,"2596269918"
"68","Argia pulla Hagen, 1865",-105.435793,20.484306,"gbif",2019-03-12,"2236229824"
"69","Argia pulla Hagen, 1865",-105.428624,20.480526,"gbif",2018-02-12,"2557628980"
"70","Argia pulla Hagen, 1865",-105.428455,20.480497,"gbif",2019-02-23,"2626120414"
"71","Argia pulla Hagen, 1865",-105.428195,20.480928,"gbif",2018-01-18,"1890031844"
"72","Argia pulla Hagen, 1865",-105.428152,20.480526,"gbif",2018-02-22,"2557629115"
"73","Argia pulla Hagen, 1865",-105.383597,20.269075,"gbif",2017-01-04,"1883466038"
"74","Argia pulla Hagen, 1865",-105.363693,22.493959,"gbif",NA,"1978282352"
"75","Argia pulla Hagen, 1865",-105.361036,22.498717,"gbif",1923-11-03,"1142494531"
"76","Argia pulla Hagen, 1865",-105.354404,22.495523,"gbif",NA,"2629040404"
"77","Argia pulla Hagen, 1865",-105.3521,20.3383,"gbif",2014-04-11,"1042812376"
"78","Argia pulla Hagen, 1865",-105.347725,20.340878,"gbif",2015-12-30,"1880543027"
"79","Argia pulla Hagen, 1865",-105.345047,20.338756,"gbif",2015-12-25,"1257409219"
"80","Argia pulla Hagen, 1865",-105.31888,20.34278,"gbif",1994-07-24,"4168899272"
"81","Argia pulla Hagen, 1865",-105.28312,21.53967,"gbif",1963-12-19,"1060948614"
"82","Argia pulla Hagen, 1865",-105.271188,21.542401,"gbif",2017-08-09,"3384655904"
"83","Argia pulla Hagen, 1865",-105.265997,20.695731,"gbif",NA,"2629040530"
"84","Argia pulla Hagen, 1865",-105.227826,21.574568,"gbif",NA,"2629042258"
"85","Argia pulla Hagen, 1865",-105.212476,21.602735,"gbif",NA,"2629040937"
"86","Argia pulla Hagen, 1865",-105.179444,21.490278,"gbif",1981-03-14,"2629164051"
"87","Argia pulla Hagen, 1865",-105.17944,19.65583,"gbif",1988-05-02,"4169056098"
"88","Argia pulla Hagen, 1865",-105.179012,21.489961,"gbif",NA,"2629041120"
"89","Argia pulla Hagen, 1865",-105.158333,21.503889,"gbif",1982-04-22,"2629165577"
"90","Argia pulla Hagen, 1865",-105.143548,21.45242,"gbif",NA,"2629040715"
"91","Argia pulla Hagen, 1865",-105.143278,21.509542,"gbif",NA,"2629043091"
"92","Argia pulla Hagen, 1865",-105.142248,21.451966,"gbif",NA,"2629040663"
"93","Argia pulla Hagen, 1865",-105.119167,21.536389,"gbif",1982-04-29,"2629164718"
"94","Argia pulla Hagen, 1865",-105.116658,21.542848,"gbif",NA,"2629041609"
"95","Argia pulla Hagen, 1865",-105.094201,21.659526,"gbif",NA,"2629040416"
"96","Argia pulla Hagen, 1865",-105.08158,21.70139,"gbif",1948-11-26,"1061054330"
"97","Argia pulla Hagen, 1865",-105.07333,19.5275,"gbif",1996-10-21,"4168897185"
"98","Argia pulla Hagen, 1865",-105.066187,22.35253,"gbif",NA,"2629041278"
"99","Argia pulla Hagen, 1865",-105.0414,19.49665,"gbif",1988-12-12,"4168897226"
"100","Argia pulla Hagen, 1865",-105.032222,21.643889,"gbif",1982-04-17,"2629165318"
"101","Argia pulla Hagen, 1865",-105.0125,21.0175,"gbif",NA,"2629041089"
"102","Argia pulla Hagen, 1865",-105.01,21.018611,"gbif",NA,"2629042765"
"103","Argia pulla Hagen, 1865",-104.96194,19.405,"gbif",1996-06-22,"4168893162"
"104","Argia pulla Hagen, 1865",-104.9171,21.491002,"gbif",NA,"2629040913"
"105","Argia pulla Hagen, 1865",-104.899525,21.43253,"gbif",1981-03-17,"2629163974"
"106","Argia pulla Hagen, 1865",-104.895691,21.509505,"gbif",NA,"1978282085"
"107","Argia pulla Hagen, 1865",-104.88936,21.5008,"gbif",1940-06-24,"1061054311"
"108","Argia pulla Hagen, 1865",-104.872534,21.614151,"gbif",1923-11-05,"1142494514"
"109","Argia pulla Hagen, 1865",-104.859737,21.476882,"gbif",2019-09-28,"3391324317"
"110","Argia pulla Hagen, 1865",-104.858439,21.479289,"gbif",2019-11-23,"2611071455"
"111","Argia pulla Hagen, 1865",-104.858119,21.482118,"gbif",2021-07-11,"3384280877"
"112","Argia pulla Hagen, 1865",-104.818024,19.306637,"gbif",2021-04-11,"3109298505"
"113","Argia pulla Hagen, 1865",-104.727,21.838,"gbif",1999-02-27,"4169137770"
"114","Argia pulla Hagen, 1865",-104.573001,21.361857,"gbif",NA,"2629041700"
"115","Argia pulla Hagen, 1865",-104.544184,21.380687,"gbif",NA,"2629041058"
"116","Argia pulla Hagen, 1865",-104.463884,21.369705,"gbif",NA,"2629042623"
"117","Argia pulla Hagen, 1865",-104.438851,19.603907,"gbif",2020-12-08,"2999105063"
"118","Argia pulla Hagen, 1865",-104.363885,19.456862,"gbif",2017-10-04,"1880673080"
"119","Argia pulla Hagen, 1865",-104.228328,19.818155,"gbif",2023-09-11,"4413899876"
"120","Argia pulla Hagen, 1865",-104.1374,19.80578,"gbif",1997-08-02,"4169056149"
"121","Argia pulla Hagen, 1865",-104.125,19.12845,"gbif",2002-05-19,"4169071115"
"122","Argia pulla Hagen, 1865",-104.079014,20.900971,"gbif",2022-10-06,"3994317581"
"123","Argia pulla Hagen, 1865",-104.07895,20.900941,"gbif",2022-10-06,"3994116566"
"124","Argia pulla Hagen, 1865",-104.05925,19.7511,"gbif",1997-04-01,"4168909303"
"125","Argia pulla Hagen, 1865",-104.0554,19.79357,"gbif",1997-01-08,"4169053141"
"126","Argia pulla Hagen, 1865",-104.02077,19.81593,"gbif",1997-02-08,"4168897193"
"127","Argia pulla Hagen, 1865",-103.891018,20.22975,"gbif",NA,"1978283016"
"128","Argia pulla Hagen, 1865",-103.872062,20.669957,"gbif",2019-11-17,"3858193449"
"129","Argia pulla Hagen, 1865",-103.871613,20.669007,"gbif",2017-07-30,"1586153016"
"130","Argia pulla Hagen, 1865",-103.871595,20.668898,"gbif",2019-05-26,"2251936682"
"131","Argia pulla Hagen, 1865",-103.87136,20.669501,"gbif",2019-11-17,"2465146299"
"132","Argia pulla Hagen, 1865",-103.871215,20.669621,"gbif",2019-11-17,"2460158665"
"133","Argia pulla Hagen, 1865",-103.87121,20.669485,"gbif",2020-05-01,"2619893990"
"134","Argia pulla Hagen, 1865",-103.870816,20.669763,"gbif",2019-05-26,"2626227384"
"135","Argia pulla Hagen, 1865",-103.870773,20.669728,"gbif",2019-05-26,"2251936204"
"136","Argia pulla Hagen, 1865",-103.870518,20.669609,"gbif",2015-06-06,"1880661192"
"137","Argia pulla Hagen, 1865",-103.850611,20.643032,"gbif",2017-07-30,"3328057675"
"138","Argia pulla Hagen, 1865",-103.845942,20.689687,"gbif",2019-06-18,"3399099426"
"139","Argia pulla Hagen, 1865",-103.844627,20.687092,"gbif",2019-06-18,"2269309804"
"140","Argia pulla Hagen, 1865",-103.842475,20.687997,"gbif",2020-07-17,"2862512416"
"141","Argia pulla Hagen, 1865",-103.841894,20.688881,"gbif",2014-10-09,"1837094955"
"142","Argia pulla Hagen, 1865",-103.841786,20.68853,"gbif",2016-08-22,"3391378304"
"143","Argia pulla Hagen, 1865",-103.823159,20.36558,"gbif",NA,"1978283064"
"144","Argia pulla Hagen, 1865",-103.798,19.4197,"gbif",2003-07-24,"4169071039"
"145","Argia pulla Hagen, 1865",-103.75722,19.00333,"gbif",2006-11-25,"1421491303"
"146","Argia pulla Hagen, 1865",-103.7572,19.0033,"gbif",2006-11-25,"4169060010"
"147","Argia pulla Hagen, 1865",-103.757,19.00347,"gbif",2006-11-25,"4168892493"
"148","Argia pulla Hagen, 1865",-103.746458,20.89588,"gbif",2022-09-24,"4011533585"
"149","Argia pulla Hagen, 1865",-103.737,18.8655,"gbif",2003-07-21,"4168983145"
"150","Argia pulla Hagen, 1865",-103.72475,19.05428,"gbif",2006-06-26,"4168962560"
"151","Argia pulla Hagen, 1865",-103.72472,19.05417,"gbif",2006-04-26,"1421493039"
"152","Argia pulla Hagen, 1865",-103.7247,19.0542,"gbif",2006-04-26,"4168909191"
"153","Argia pulla Hagen, 1865",-103.72392,19.05317,"gbif",2006-04-26,"4168957495"
"154","Argia pulla Hagen, 1865",-103.72281,19.05942,"gbif",2006-04-28,"4168962554"
"155","Argia pulla Hagen, 1865",-103.7228,19.0594,"gbif",2006-04-28,"4169132126"
"156","Argia pulla Hagen, 1865",-103.72278,19.05944,"gbif",2006-04-28,"1421486799"
"157","Argia pulla Hagen, 1865",-103.71361,19.02556,"gbif",2006-10-25,"1421489506"
"158","Argia pulla Hagen, 1865",-103.71361,19.02567,"gbif",2006-10-25,"4168890171"
"159","Argia pulla Hagen, 1865",-103.7136,19.0256,"gbif",2006-10-25,"4169092395"
"160","Argia pulla Hagen, 1865",-103.70675,19.01103,"gbif",2006-07-30,"4169119596"
"161","Argia pulla Hagen, 1865",-103.7067,19.0111,"gbif",2006-07-30,"4168903285"
"162","Argia pulla Hagen, 1865",-103.70667,19.01111,"gbif",2006-07-30,"1421491721"
"163","Argia pulla Hagen, 1865",-103.704,18.98617,"gbif",2006-11-27,"4168898590"
"164","Argia pulla Hagen, 1865",-103.70375,18.98617,"gbif",2006-04-27,"4168965507"
"165","Argia pulla Hagen, 1865",-103.70361,18.98611,"gbif",2006-04-27,"1421489924"
"166","Argia pulla Hagen, 1865",-103.7036,18.9861,"gbif",2006-04-27,"4168917407"
"167","Argia pulla Hagen, 1865",-103.689688,18.662576,"gbif",NA,"2629041243"
"168","Argia pulla Hagen, 1865",-103.676683,18.673383,"gbif",2006-01-20,"2629306710"
"169","Argia pulla Hagen, 1865",-103.617701,20.69803,"gbif",2021-03-27,"3070733762"
"170","Argia pulla Hagen, 1865",-103.613538,20.691497,"gbif",2022-01-02,"3873028535"
"171","Argia pulla Hagen, 1865",-103.612267,20.690356,"gbif",2020-10-19,"2963957728"
"172","Argia pulla Hagen, 1865",-103.373217,18.756167,"gbif",2005-07-09,"2629308863"
"173","Argia pulla Hagen, 1865",-103.361136,18.75579,"gbif",NA,"2629041810"
"174","Argia pulla Hagen, 1865",-103.326795,20.743793,"gbif",2023-11-02,"4439024127"
"175","Argia pulla Hagen, 1865",-103.326766,20.74372,"gbif",2023-11-02,"4438826140"
"176","Argia pulla Hagen, 1865",-103.326764,20.743719,"gbif",2023-11-02,"4438830131"
