"","name","longitude","latitude","prov","date","key"
"823","Argia pulla Hagen, 1865",-99.27588,18.549425,"gbif",2020-06-08,"2629040461"
"824","Argia pulla Hagen, 1865",-103.7247,19.0542,"gbif",2006-08-24,"4168984176"
"825","Argia pulla Hagen, 1865",-103.7067,19.0111,"gbif",2006-08-27,"4169132125"
"826","Argia pulla Hagen, 1865",-103.70675,19.01103,"gbif",2006-08-27,"4169052550"
"827","Argia pulla Hagen, 1865",-103.72472,19.05417,"gbif",2006-08-23,"1421493184"
"828","Argia pulla Hagen, 1865",-103.70375,18.98617,"gbif",2006-08-25,"4169055448"
"829","Argia pulla Hagen, 1865",-103.7247,19.0542,"gbif",2006-08-23,"4168909193"
"830","Argia pulla Hagen, 1865",-103.72475,19.05428,"gbif",2006-08-24,"4168889461"
"831","Argia pulla Hagen, 1865",-103.7067,19.0111,"gbif",2006-08-27,"4169060008"
"832","Argia pulla Hagen, 1865",-103.70675,19.01103,"gbif",2006-08-27,"4168896490"
"833","Argia pulla Hagen, 1865",-103.7247,19.0542,"gbif",2006-08-24,"4168909194"
"834","Argia pulla Hagen, 1865",-103.7067,19.0111,"gbif",2006-08-27,"4169075355"
"835","Argia pulla Hagen, 1865",-103.70667,19.01111,"gbif",2006-08-27,"1421491744"
"836","Argia pulla Hagen, 1865",-103.70667,19.01111,"gbif",2006-08-27,"1421491770"
"837","Argia pulla Hagen, 1865",-103.72472,19.05417,"gbif",2006-08-23,"1421493498"
"838","Argia pulla Hagen, 1865",-103.70675,19.01103,"gbif",2006-08-27,"4169118493"
"839","Argia pulla Hagen, 1865",-103.7247,19.0542,"gbif",2006-08-23,"4169092387"
"840","Argia pulla Hagen, 1865",-103.72472,19.05417,"gbif",2006-08-23,"1421493655"
"841","Argia pulla Hagen, 1865",-103.70667,19.01111,"gbif",2006-08-27,"1421491826"
"842","Argia pulla Hagen, 1865",-103.7247,19.0542,"gbif",2006-08-23,"4169075350"
"843","Argia pulla Hagen, 1865",-103.72475,19.05428,"gbif",2006-08-24,"4168889462"
"844","Argia pulla Hagen, 1865",-103.7067,19.0111,"gbif",2006-08-27,"4169060009"
"845","Argia pulla Hagen, 1865",-99.27588,18.549425,"gbif",2020-06-09,"2629041430"
"846","Argia pulla Hagen, 1865",-103.7036,18.9861,"gbif",2006-10-26,"4169132124"
"847","Argia pulla Hagen, 1865",-103.7036,18.9861,"gbif",2006-10-26,"4168903283"
"848","Argia pulla Hagen, 1865",-103.70375,18.98617,"gbif",2006-10-26,"4168890169"
"849","Argia pulla Hagen, 1865",-103.70361,18.98611,"gbif",2006-10-26,"1421489947"
"850","Argia pulla Hagen, 1865",-103.72472,19.05417,"gbif",2006-10-23,"1421493118"
"851","Argia pulla Hagen, 1865",-103.7036,18.9861,"gbif",2006-10-26,"4168984180"
"852","Argia pulla Hagen, 1865",-103.70375,18.98617,"gbif",2006-10-26,"4169053221"
"853","Argia pulla Hagen, 1865",-103.70375,18.98617,"gbif",2006-10-26,"4169053214"
"854","Argia pulla Hagen, 1865",-103.71361,19.02556,"gbif",2006-10-25,"1421489506"
"855","Argia pulla Hagen, 1865",-103.7247,19.0542,"gbif",2006-10-23,"4169075351"
"856","Argia pulla Hagen, 1865",-103.7036,18.9861,"gbif",2006-10-27,"4169075354"
"857","Argia pulla Hagen, 1865",-103.71361,19.02567,"gbif",2006-10-25,"4168890171"
"858","Argia pulla Hagen, 1865",-103.70375,18.98617,"gbif",2006-10-26,"4168893226"
