"","Longitude","Latitude"
"288",-96.7228,18.8119
"289",-96.716667,18.8
"290",-96.653,19.4028
"291",-96.633333,19.383333
"292",-96.612281,15.698608
"294",-96.509705,17.13496
"295",-96.48483,19.32353
"297",-96.45,18.766667
"298",-96.45,19.333333
"299",-96.433333,19.766667
"303",-96.428666,19.29207
"304",-96.416667,19.266667
"305",-96.38781,18.83775
"306",-96.383333,19.416667
"307",-96.374756,15.868883
"308",-96.36351,15.851442
"309",-96.361389,18.446667
"310",-96.357254,15.841054
"311",-96.305957,18.112267
"315",-96.297504,15.751466
"316",-96.28,18.37
"317",-96.266433,17.800803
"318",-96.25,18.3
"321",-96.2344,15.7725
"322",-96.2231,15.8378
"325",-96.20864,15.77947
"328",-96.2,18.4
"329",-96.18,18.38
"330",-96.17589,15.81628
"334",-96.16778,15.80583
"336",-96.1126,15.775888
"337",-95.455278,18.323611
"338",-95.247662,16.318534
"339",-95.238968,16.32199
"340",-95.23382,16.330166
"341",-95.198333,18.388333
"342",-95.190217,18.320347
"343",-95.133333,18.6
"344",-95.125924,18.41902
"345",-95.120007,18.42953
"346",-95.116667,18.1
"347",-95.1,18.566667
"348",-95.093333,18.593611
"349",-95.0669575,18.5869414
"350",-95.066667,18.566667
"352",-95.031667,18.5
"353",-94.980275,16.551664
"354",-94.959862,17.881911
"356",-94.873635,16.58528
"357",-94.296667,18.15
"358",-94.1339,16.3908
"359",-93.5435,16.6863
"360",-93.49,16.78028
"361",-93.258942,16.228526
"362",-93.176129,16.753606
"363",-93.038513,16.733241
"364",-92.927352,17.980176
"366",-92.619722,15.359558
"367",-92.30533,14.85133
"368",-92.30046,14.666325
"369",-92.27816,14.908279
"370",-92.258542,14.914353
"372",-92.24307,14.99067
"373",-92.14923,17.06286
"374",-92.133333,15.5
"375",-92.0961,14.8556
"376",-92.08261,15.06739
"377",-91.929733,17.433851
"378",-91.6493,14.5317
"379",-91.5718,14.5412
"380",-91.4391,14.5491
"381",-91.437313,16.135388
"382",-91.4263,14.6169
"383",-91.016904,18.496357
"384",-90.80917,18.61222
"385",-90.7823,14.2971
"386",-90.6958,14.4104
"387",-90.628352,14.099151
"388",-90.392052,14.923936
"393",-90.36889,20.53417
"394",-90.29288,17.247216
"395",-89.88992,18.47633
"396",-89.81575,18.124083
"397",-89.804833,18.109833
"398",-89.702075,16.99693
"399",-89.681305,16.986035
"400",-89.594,13.5119
"401",-89.563912,13.977828
"402",-89.456611,18.2165
"405",-89.41719,18.58777
"406",-89.388169,15.324378
"407",-89.3561,15.1191
"408",-89.3086,13.4908
"409",-89.258,18.590417
"411",-89.15556,18.42084
"412",-89.0457,16.2003
"413",-88.88002,17.027032
"414",-88.705846,16.554826
"415",-88.654523,17.750748
"416",-88.568298,17.052858
"417",-88.4591,16.7804
"418",-88.39145,16.936171
"419",-87.91297,14.880657
"420",-87.669209,13.531453
"421",-87.456753,15.740492
"422",-87.07744,14.017193
"427",-87.000356,14.006369
"436",-86.9891,14.003242
"444",-86.987622,13.994363
"446",-86.884649,15.439956
"447",-86.52636,13.63373
"448",-86.3979,13.4155
"449",-86.266484,11.984059
"450",-86.2377,12.9698
"451",-85.899965,14.85586
"452",-85.847088,14.836952
"453",-85.837106,10.299275
"454",-85.7936,12.4116
"456",-85.766655,10.264444
"461",-85.731015,10.901925
"462",-85.692738,10.554318
"463",-85.662055,10.315643
"464",-85.593506,11.121939
"465",-85.588536,10.557471
"466",-85.573539,10.865507
"467",-85.52754,11.034298
"468",-85.488803,10.95262
"469",-85.4816,11.48965
"470",-85.472152,10.040922
"471",-85.370957,10.505513
"472",-85.351913,10.776784
"474",-85.344376,10.344775
"475",-85.344,10.789469
"477",-85.334297,10.383413
"478",-85.32294,10.75899
"482",-85.3191,10.768403
"483",-85.298157,10.524406
"485",-85.28833,9.883763
"486",-85.269037,10.215966
"487",-85.253621,10.509967
"488",-85.2517,10.5445
"489",-85.249062,15.067735
"491",-85.196517,10.674578
"492",-85.1782,10.3496
"493",-85.173634,12.212398
"496",-85.143272,10.455075
"498",-85.137435,9.9572
"501",-85.12763,10.45062
"502",-84.928404,10.688262
"503",-84.917618,10.162082
"504",-84.852611,10.161943
"505",-84.85235,10.146932
"506",-84.850918,10.450229
"507",-84.7338,10.0219
"508",-84.721155,10.452553
"509",-84.714692,10.485168
"510",-84.7122,9.99046
"511",-84.703179,10.462626
"512",-84.65257,10.469813
"514",-84.640681,10.454372
"517",-84.608974,9.756158
"518",-84.57756,9.7935
"519",-84.553668,9.780163
"520",-84.3803,9.97833
"522",-84.352986,10.99205
"524",-84.340086,10.975024
"526",-84.243975,9.914933
"527",-84.219872,10.676107
"528",-84.206772,10.703792
"529",-84.202846,9.454288
"530",-84.154327,9.410379
"531",-83.919943,10.178699
"532",-83.840521,10.198481
"534",-83.755758,9.152477
"535",-83.7519,9.8867
"536",-83.739485,9.156164
"537",-83.736267,9.173945
"538",-83.726457,8.638229
"539",-83.7245,9.33052
"540",-83.6744,9.91378
"541",-83.667886,8.642972
"542",-83.657,9.87405
"543",-83.65,9.9
