"","longitude","latitude"
"202",-96.7228,18.8119
"203",-96.716667,18.8
"204",-96.653,19.4028
"205",-96.633333,19.383333
"206",-96.612281,15.698608
"207",-96.509705,17.13496
"208",-96.48483,19.32353
"209",-96.45,18.766667
"210",-96.45,19.333333
"211",-96.433333,19.766667
"212",-96.428666,19.29207
"213",-96.416667,19.266667
"214",-96.38781,18.83775
"215",-96.383333,19.416667
"216",-96.374756,15.868883
"217",-96.36351,15.851442
"218",-96.361389,18.446667
"219",-96.357254,15.841054
"220",-96.305957,18.112267
"221",-96.297504,15.751466
"222",-96.28,18.37
"223",-96.266433,17.800803
"224",-96.25,18.3
"225",-96.2344,15.7725
"226",-96.2231,15.8378
"227",-96.20864,15.77947
"228",-96.2,18.4
"229",-96.18,18.38
"230",-96.17589,15.81628
"231",-96.16778,15.80583
"232",-96.1126,15.775888
"233",-95.455278,18.323611
"234",-95.247662,16.318534
"235",-95.238968,16.32199
"236",-95.23382,16.330166
"237",-95.198333,18.388333
"238",-95.190217,18.320347
"239",-95.133333,18.6
"240",-95.125924,18.41902
"241",-95.120007,18.42953
"242",-95.116667,18.1
"243",-95.1,18.566667
"244",-95.093333,18.593611
"245",-95.0669575,18.5869414
"246",-95.066667,18.566667
"247",-95.031667,18.5
"248",-94.980275,16.551664
"249",-94.959862,17.881911
"250",-94.873635,16.58528
"251",-94.296667,18.15
"252",-94.1339,16.3908
"253",-93.5435,16.6863
"254",-93.49,16.78028
"255",-93.258942,16.228526
"256",-93.176129,16.753606
"257",-93.038513,16.733241
"258",-92.927352,17.980176
"259",-92.619722,15.359558
"260",-92.30533,14.85133
"261",-92.30046,14.666325
"262",-92.27816,14.908279
"263",-92.258542,14.914353
"264",-92.24307,14.99067
"265",-92.14923,17.06286
"266",-92.133333,15.5
"267",-92.0961,14.8556
"268",-92.08261,15.06739
"269",-91.929733,17.433851
"270",-91.6493,14.5317
"271",-91.5718,14.5412
"272",-91.4391,14.5491
"273",-91.437313,16.135388
"274",-91.4263,14.6169
"275",-91.016904,18.496357
"276",-90.80917,18.61222
"277",-90.7823,14.2971
"278",-90.6958,14.4104
"279",-90.628352,14.099151
"280",-90.392052,14.923936
"281",-90.36889,20.53417
"282",-90.29288,17.247216
"283",-89.88992,18.47633
"284",-89.81575,18.124083
"285",-89.804833,18.109833
"286",-89.702075,16.99693
"287",-89.681305,16.986035
"288",-89.594,13.5119
"289",-89.563912,13.977828
"290",-89.456611,18.2165
"291",-89.41719,18.58777
"292",-89.388169,15.324378
"293",-89.3561,15.1191
"294",-89.3086,13.4908
"295",-89.258,18.590417
"296",-89.15556,18.42084
"297",-89.0457,16.2003
"298",-88.88002,17.027032
"299",-88.705846,16.554826
"300",-88.654523,17.750748
"301",-88.568298,17.052858
"302",-88.4591,16.7804
"303",-88.39145,16.936171
"304",-87.91297,14.880657
"305",-87.669209,13.531453
"306",-87.456753,15.740492
"307",-87.07744,14.017193
"308",-87.000356,14.006369
"309",-86.9891,14.003242
"310",-86.987622,13.994363
"311",-86.884649,15.439956
"312",-86.52636,13.63373
"313",-86.3979,13.4155
"314",-86.266484,11.984059
